head,preposition,noun,occurrences,score
Lage,in,Israel,1,0.008
informieren,über,Lage,1,0.008
Höhe,von,Million,1,0.008
MMD,in,Höhe,1,0.008
Staatsoberhaupt,als,Parlamentspräsident,1,0.008
Aufsicht,über,Zukunftsmarkt,1,0.008
Flexibilität,bei,Gestaltung,1,0.008
000,aus,Syrien,1,0.008
Asylbewerber,aus,Libanon,1,0.008
Wechsel,zu,Mischkonzern,1,0.008
Gage,von,Spitzenkünstler,1,0.008
messen,an,Gage,1,0.008
Zusammenhang,zwischen,Besuch,1,0.008
Pfadfinder,für,Kohl,1,0.008
Staatssekretär,in,Verteidigungsministerium,1,0.008
Delegation,von,Jörg,1,0.008
Regierung,von,morgen,1,0.008
Spannungsverhältnis,zwischen,Regierung,1,0.008
Bedrohung,aus,Osten,1,0.008
notwendig,angesichts,Bedrohung,1,0.008
Leben,als,Erwachsene,1,0.008
Schwelle,zu,Leben,1,0.008
Psychogramm,auf,Schwelle,1,0.008
Psychogramm,in,Wahrheit,1,0.008
Chronik,auf,Blick,1,0.008
ebenfalls,aus,Österreich,1,0.008
Episodenfilm,als,Movie,1,0.008
Movie,als,Episodenfilm,1,0.008
Kernenergie,auf,Widerstand,1,0.008
pusten,in,Luft,1,0.008
Eindruck,von,Ende,1,0.008
erhältlich,unter,Titel,1,0.008
benutzt,von,Landwirtschaftsminister,1,0.008
Zankapfel,zwischen,Ökologie,1,0.008
Lebensraum,um,Vielfache,1,0.008
Signal,für,Wirtschaft,1,0.008
Reform,zu,Januar,1,0.008
Gespräch,zwischen,Koalition,1,0.008
lahmgelegt,von,Datenbankproblem,1,0.008
Rekordgewinn,von,Pfund,1,0.008
Rekordgewinn,vor,Steuer,1,0.008
reichend,bis,März,1,0.008
Geschäftsschlußzeit,an,Werktag,1,0.008
Familienbesitz,in,Ausland,1,0.008
Verhandlung,über,Altersversorgung,1,0.008
Schering,unter,anderer,1,0.008
Urnengang,an,Oktober,1,0.008
Sprecherin,in,Paris,1,0.008
Volumensteigerung,in,Sparte,1,0.008
Maßnahme,zu,Steigerung,1,0.008
