head,preposition,noun,occurrences,score
Mangel,an,Sinn,4,0.528
Sinn,für,Poesie,3,0.396
eins,von,beide,2,0.264
Glaube,an,sie,2,0.264
Glaube,an,Autorität,2,0.264
Wechsel,von,Selbstschöpfung,2,0.264
Sinn,für,Fragment,2,0.264
grenzend,an,Armut,1,0.132
Arabesk,in,Styl,1,0.132
Weiblichkeit,über,Schwärmerei,1,0.132
Reflexion,über,Weiblichkeit,1,0.132
deutsche,in,Verhältnis,1,0.132
Mensch,von,Tendenz,1,0.132
Träne,in,Menge,1,0.132
ein,von,Plattheit,1,0.132
unschuldig,in,Sinn,1,0.132
fähig,mit,Wort,1,0.132
Neigung,zu,Energie,1,0.132
Göttlichkeit,ohne,Kraft,1,0.132
Größe,in,Handlung,1,0.132
überflüssig,in,Bedeutung,1,0.132
Höhe,für,Mensch,1,0.132
Geisteskraft,von,Extension,1,0.132
Gegenteil,von,Spiel,1,0.132
Sinn,für,Ironie,1,0.132
schöne,in,Arabesk,1,0.132
brechen,über,sich,1,0.132
Fantast,in,gut,1,0.132
Machinist,in,Hintergrund,1,0.132
Verdienst,nach,Ansicht,1,0.132
tugendhaft,in,Ernst,1,0.132
unzertrennlich,von,Sittlichkeit,1,0.132
Charakteristik,mit,Variation,1,0.132
schicklich,in,Sinn,1,0.132
zweckmäßig,in,Zusammenhange,1,0.132
gut,in,Styl,1,0.132
Anwendung,auf,Philologie,1,0.132
Enthusiasmus,für,Erkenntnis,1,0.132
gebären,zu,Poesie,1,0.132
gebären,zu,Philologie,1,0.132
Eindruck,auf,Laie,1,0.132
treu,in,Deutsch,1,0.132
Frage,von,Möglichkeit,1,0.132
Appellier,an,Menschenverstand,1,0.132
Respekt,vor,Mathematik,1,0.132
Folge,aus,Annahme,1,0.132
Übersetzung,in,Sprache,1,0.132
Poesie,ohne,Philologie,1,0.132
freuen,über,Nützlichkeit,1,0.132
Nachahmer,in,Poesie,1,0.132
