abhaengigkeit,12,"('bei', 12)"
adversativ,610,"('gegen', 610)"
adversativ komparativ,1,"('gegen', 1)"
adversativ lokal,1,"('gegen', 1)"
adversativ ziel,53,"('gegen', 53)"
austausch,64,"('gegen', 60)","('in', 4)"
austausch regiert,17,"('in', 17)"
beteiligung,51,"('ohne', 48)","('unter', 3)"
bezugspunkt,975,"('ueber', 456)","('bei', 395)","('wegen', 78)","('in', 46)"
bezugspunkt konditional,4,"('bei', 4)"
bezugspunkt lokal,1,"('ueber', 1)"
bezugspunkt machtverhaeltnis,3,"('ueber', 3)"
bezugspunkt regiert,2,"('bei', 2)"
bezugspunkt regiert lokal,1,"('bei', 1)"
bezugspunkt temporal,40,"('bei', 34)","('in', 6)"
bezugspunkt temporal konditional,2,"('bei', 2)"
distributiv,6,"('in', 6)"
grenze,30,"('bei', 30)"
indikator,13,"('in', 7)","('bei', 6)"
indikator regiert,1,"('in', 1)"
indikator temporal,1,"('bei', 1)"
komparativ,14,"('gegen', 14)"
konditional,3523,"('wegen', 2633)","('bei', 375)","('ohne', 244)","('unter', 194)","('ueber', 58)","('in', 19)"
konditional beteiligung,1,"('ohne', 1)"
konditional bezugspunkt,258,"('wegen', 222)","('ueber', 36)"
konditional lokal,1,"('bei', 1)"
konditional modal,17,"('ohne', 15)","('unter', 2)"
konditional regiert,206,"('unter', 203)","('in', 3)"
konditional restriktiv,2,"('ohne', 2)"
konditional temporal,1,"('ueber', 1)"
korrespondenz,59,"('gegen', 59)"
lokal,3025,"('unter', 1171)","('in', 912)","('bei', 423)","('ueber', 414)","('gegen', 105)"
lokal zuordnung,1,"('unter', 1)"
machtverhaeltnis,865,"('unter', 840)","('ueber', 25)"
machtverhaeltnis konditional,22,"('unter', 22)"
machtverhaeltnis regiert,53,"('unter', 53)"
masangabe,7,"('ueber', 7)"
modal,1885,"('unter', 939)","('ohne', 403)","('ueber', 281)","('bei', 164)","('in', 98)"
modal konditional,29,"('bei', 29)"
modal lokal,30,"('ueber', 27)","('in', 2)","('unter', 1)"
modal temporal,9,"('in', 8)","('bei', 1)"
modal ueber-_und_unterschreitung,37,"('unter', 37)"
modal zuordnung,1,"('unter', 1)"
prep_meaning_parent,6,"('bei', 1)","('gegen', 1)","('ohne', 1)","('ueber', 1)","('unter', 1)","('wegen', 1)"
prep_meaning_parents,1,"('in', 1)"
quelle,3,"('in', 3)"
rangfolge,7,"('ueber', 7)"
realisation,16,"('in', 16)"
realisation regiert,1,"('in', 1)"
regiert,351,"('ueber', 147)","('bei', 88)","('in', 56)","('unter', 39)","('gegen', 20)","('ohne', 1)"
regiert adversativ,493,"('gegen', 493)"
regiert adversativ ziel,67,"('gegen', 67)"
regiert austausch,36,"('gegen', 25)","('in', 11)"
regiert bezugspunkt,210,"('ueber', 210)"
regiert konditional,18,"('ueber', 18)"
regiert konditional bezugspunkt,60,"('ueber', 60)"
regiert korrespondenz,1,"('gegen', 1)"
regiert lokal,28,"('in', 13)","('ueber', 6)","('bei', 5)","('gegen', 4)"
regiert machtverhaeltnis,27,"('ueber', 27)"
regiert rangfolge,1,"('ueber', 1)"
regiert temporal,8,"('ueber', 6)","('bei', 2)"
regiert thema,121,"('ueber', 121)"
regiert thema bezugspunkt,29,"('ueber', 29)"
regiert ueber-_und_unterschreitung,1,"('unter', 1)"
regiert ziel,61,"('gegen', 61)"
regiert zuordnung,18,"('unter', 18)"
restriktiv,24,"('ohne', 24)"
restriktiv zuordnung,4,"('bei', 4)"
restriktiv zuordnung ziel,1,"('bei', 1)"
stellungnahme,1,"('ohne', 1)"
temporal,738,"('in', 379)","('bei', 244)","('gegen', 92)","('ueber', 23)"
temporal konditional,215,"('bei', 213)","('unter', 2)"
temporal lokal,2,"('bei', 2)"
temporal machtverhaeltnis,97,"('unter', 97)"
temporal machtverhaeltnis konditional,2,"('unter', 2)"
thema,378,"('ueber', 378)"
thema bezugspunkt,76,"('ueber', 76)"
thema konditional,1,"('ueber', 1)"
ueber-_und_unterschreitung,1101,"('unter', 980)","('ueber', 121)"
ueber-_und_unterschreitung lokal,3,"('ueber', 3)"
ueber-_und_unterschreitung masangabe,1,"('ueber', 1)"
ueber-_und_unterschreitung modal,1,"('ueber', 1)"
vorgang,2,"('ohne', 2)"
vorhandensein,352,"('ohne', 352)"
ziel,220,"('gegen', 178)","('bei', 42)"
ziel lokal,1,"('bei', 1)"
ziel regiert,1,"('bei', 1)"
ziel temporal,1,"('bei', 1)"
zuordnung,2133,"('unter', 1738)","('bei', 291)","('in', 96)","('ueber', 8)"
zuordnung bezugspunkt,1,"('bei', 1)"
zuordnung konditional,74,"('bei', 74)"
zuordnung lokal,2,"('ueber', 2)"
zuordnung temporal,7,"('bei', 7)"
zuordnung temporal konditional,1,"('bei', 1)"
zuordnung ziel,3,"('bei', 3)"
zuordnung ziel regiert,5,"('bei', 5)"
zustand,95,"('in', 73)","('unter', 22)"
zustand regiert,2,"('in', 2)"
