meaning,total_freq,preposition1,preposition2,preposition3,preposition4,preposition5,preposition6
konditional,3523,"('wegen', 2633)","('bei', 375)","('ohne', 244)","('unter', 194)","('ueber', 58)","('in', 19)"
lokal,3025,"('unter', 1171)","('in', 912)","('bei', 423)","('ueber', 414)","('gegen', 105)"
zuordnung,2133,"('unter', 1738)","('bei', 291)","('in', 96)","('ueber', 8)"
modal,1885,"('unter', 939)","('ohne', 403)","('ueber', 281)","('bei', 164)","('in', 98)"
ueber-_und_unterschreitung,1101,"('unter', 980)","('ueber', 121)"
bezugspunkt,975,"('ueber', 456)","('bei', 395)","('wegen', 78)","('in', 46)"
machtverhaeltnis,865,"('unter', 840)","('ueber', 25)"
temporal,738,"('in', 379)","('bei', 244)","('gegen', 92)","('ueber', 23)"
adversativ,610,"('gegen', 610)"
regiert adversativ,493,"('gegen', 493)"
thema,378,"('ueber', 378)"
vorhandensein,352,"('ohne', 352)"
regiert,351,"('ueber', 147)","('bei', 88)","('in', 56)","('unter', 39)","('gegen', 20)","('ohne', 1)"
konditional bezugspunkt,258,"('wegen', 222)","('ueber', 36)"
ziel,220,"('gegen', 178)","('bei', 42)"
temporal konditional,215,"('bei', 213)","('unter', 2)"
regiert bezugspunkt,210,"('ueber', 210)"
konditional regiert,206,"('unter', 203)","('in', 3)"
regiert thema,121,"('ueber', 121)"
temporal machtverhaeltnis,97,"('unter', 97)"
zustand,95,"('in', 73)","('unter', 22)"
thema bezugspunkt,76,"('ueber', 76)"
zuordnung konditional,74,"('bei', 74)"
regiert adversativ ziel,67,"('gegen', 67)"
austausch,64,"('gegen', 60)","('in', 4)"
regiert ziel,61,"('gegen', 61)"
regiert konditional bezugspunkt,60,"('ueber', 60)"
korrespondenz,59,"('gegen', 59)"
adversativ ziel,53,"('gegen', 53)"
machtverhaeltnis regiert,53,"('unter', 53)"
beteiligung,51,"('ohne', 48)","('unter', 3)"
bezugspunkt temporal,40,"('bei', 34)","('in', 6)"
modal ueber-_und_unterschreitung,37,"('unter', 37)"
regiert austausch,36,"('gegen', 25)","('in', 11)"
grenze,30,"('bei', 30)"
modal lokal,30,"('ueber', 27)","('in', 2)","('unter', 1)"
modal konditional,29,"('bei', 29)"
regiert thema bezugspunkt,29,"('ueber', 29)"
regiert lokal,28,"('in', 13)","('ueber', 6)","('bei', 5)","('gegen', 4)"
regiert machtverhaeltnis,27,"('ueber', 27)"
restriktiv,24,"('ohne', 24)"
machtverhaeltnis konditional,22,"('unter', 22)"
regiert konditional,18,"('ueber', 18)"
regiert zuordnung,18,"('unter', 18)"
austausch regiert,17,"('in', 17)"
konditional modal,17,"('ohne', 15)","('unter', 2)"
realisation,16,"('in', 16)"
komparativ,14,"('gegen', 14)"
indikator,13,"('in', 7)","('bei', 6)"
abhaengigkeit,12,"('bei', 12)"
modal temporal,9,"('in', 8)","('bei', 1)"
regiert temporal,8,"('ueber', 6)","('bei', 2)"
masangabe,7,"('ueber', 7)"
rangfolge,7,"('ueber', 7)"
zuordnung temporal,7,"('bei', 7)"
distributiv,6,"('in', 6)"
zuordnung ziel regiert,5,"('bei', 5)"
bezugspunkt konditional,4,"('bei', 4)"
restriktiv zuordnung,4,"('bei', 4)"
bezugspunkt machtverhaeltnis,3,"('ueber', 3)"
quelle,3,"('in', 3)"
ueber-_und_unterschreitung lokal,3,"('ueber', 3)"
zuordnung ziel,3,"('bei', 3)"
bezugspunkt regiert,2,"('bei', 2)"
bezugspunkt temporal konditional,2,"('bei', 2)"
konditional restriktiv,2,"('ohne', 2)"
temporal lokal,2,"('bei', 2)"
temporal machtverhaeltnis konditional,2,"('unter', 2)"
vorgang,2,"('ohne', 2)"
zuordnung lokal,2,"('ueber', 2)"
zustand regiert,2,"('in', 2)"
adversativ komparativ,1,"('gegen', 1)"
adversativ lokal,1,"('gegen', 1)"
bezugspunkt lokal,1,"('ueber', 1)"
bezugspunkt regiert lokal,1,"('bei', 1)"
indikator regiert,1,"('in', 1)"
indikator temporal,1,"('bei', 1)"
konditional beteiligung,1,"('ohne', 1)"
konditional lokal,1,"('bei', 1)"
konditional temporal,1,"('ueber', 1)"
lokal zuordnung,1,"('unter', 1)"
modal zuordnung,1,"('unter', 1)"
realisation regiert,1,"('in', 1)"
regiert korrespondenz,1,"('gegen', 1)"
regiert rangfolge,1,"('ueber', 1)"
regiert ueber-_und_unterschreitung,1,"('unter', 1)"
restriktiv zuordnung ziel,1,"('bei', 1)"
stellungnahme,1,"('ohne', 1)"
thema konditional,1,"('ueber', 1)"
ueber-_und_unterschreitung masangabe,1,"('ueber', 1)"
ueber-_und_unterschreitung modal,1,"('ueber', 1)"
ziel lokal,1,"('bei', 1)"
ziel regiert,1,"('bei', 1)"
ziel temporal,1,"('bei', 1)"
zuordnung bezugspunkt,1,"('bei', 1)"
zuordnung temporal konditional,1,"('bei', 1)"
