head,preposition,noun,occurrences,score
Alter,von,Jahr,20,0.17
Gemeinde,mit,Einwohner,15,0.127
Frankfurt,an,Main,10,0.085
Gemeinde,in,Département,9,0.076
Département,in,Region,8,0.068
Freiburg,in,Breisgau,6,0.051
Gemeinde,in,Provinz,6,0.051
Stadt,mit,Einwohner,5,0.042
Höhe,von,m,5,0.042
Stadt,in,Provinz,5,0.042
Länge,von,Meter,5,0.042
alle,in,alle,4,0.034
bekennen,vor,alle,4,0.034
Hochschule,für,Musik,4,0.034
Fläche,von,km,4,0.034
Studium,an,Universität,4,0.034
Entfernung,von,km,4,0.034
gerufen,in,Leben,4,0.034
bekennen,unter,Name,4,0.034
Länge,von,cm,4,0.034
Gemeinde,in,Bezirk,4,0.034
Stadt,in,Präfektur,4,0.034
Arrondissement,in,Département,4,0.034
bekannt,vor,alle,4,0.034
Höhe,von,Meter,4,0.034
Fläche,von,ha,3,0.025
Teilnehmer,aus,Regionalliga,3,0.025
Fläche,von,Quadratkilometer,3,0.025
Hauptinsel,von,Japan,3,0.025
Gemeinde,in,Landkreis,3,0.025
Professor,an,Universität,3,0.025
Einwohner,pro,Quadratkilometer,3,0.025
Gruppe,mit,Teilnehmer,3,0.025
Volkszählung,in,Jahr,3,0.025
erfolgt,in,Jahr,3,0.025
Verwaltungseinheit,in,Arrondissement,3,0.025
tätig,in,Jahr,3,0.025
Durchmesser,von,cm,3,0.025
stehend,unter,Denkmalschutz,3,0.025
Rolle,in,Film,3,0.025
Spannweite,von,Meter,3,0.025
Breite,von,Meter,3,0.025
Antwort,auf,Frage,3,0.025
möglich,für,Ernte,3,0.025
alle,in,Allem,3,0.025
Dank,an,Team,3,0.025
wir,in,Wirtschaft,2,0.017
Park,für,Familie,2,0.017
Bündnis,für,Arbeit,2,0.017
Ring,um,Sarajewo,2,0.017
