head,preposition,noun,occurrences,score
Komitee,für,Gerechtigkeit,39,0.07
taz,von,10.,28,0.05
Antwort,auf,Frage,24,0.043
Alter,von,Jahr,21,0.038
Krieg,in,Kosovo,20,0.036
Landesamt,für,Verfassungsschutz,19,0.034
taz,von,4.,19,0.034
taz,von,7.,18,0.032
einer,von,sie,18,0.032
Höhe,von,Mark,17,0.031
Schritt,in,Richtung,16,0.029
Frankfurt,an,Main,15,0.027
Flüchtling,aus,Kosovo,14,0.025
viele,von,sie,13,0.023
Krieg,in,Jugoslawien,13,0.023
Höhe,von,Million,13,0.023
Krieg,auf,Balkan,12,0.022
meisten,von,sie,12,0.022
Fortsetzung,auf,Seite,11,0.02
Million,in,Jahr,11,0.02
Mark,pro,Quadratmeter,11,0.02
Koalition,mit,SPD,10,0.018
taz,von,5.,10,0.018
Originalfassung,ohne,Untertitel,10,0.018
Info,unter,Tel.,10,0.018
Fortsetzung,von,Seite,9,0.016
Mark,in,Monat,9,0.016
Höhe,von,Milliarde,9,0.016
Kommentar,auf,Seite,9,0.016
Jahr,für,Jahr,9,0.016
Nacht,zu,Sonntag,9,0.016
Nacht,zu,Samstag,9,0.016
Tag,für,Tag,9,0.016
Wert,von,Million,9,0.016
Dorn,in,Auge,8,0.014
Marsch,auf,Washington,8,0.014
taz,von,6.,8,0.014
Mark,pro,Monat,8,0.014
es,vor,alles,8,0.014
Institut,für,Friedensforschung,8,0.014
Krieg,gegen,Jugoslawien,8,0.014
Originalfassung,mit,Untertitel,8,0.014
Einsatz,von,Bodentruppe,8,0.014
Anteil,von,Prozent,8,0.014
Bund,für,Umwelt,8,0.014
Deutscher,in,Verkehr,7,0.013
Milliarde,in,Jahr,7,0.013
Wert,von,Mark,7,0.013
Suche,nach,Identität,7,0.013
Gründung,von,Komitee,7,0.013
