head,preposition,noun,occurrences,score
stehen,in,Verhältnis,3,0.211
ziehen,nach,sich,2,0.14
behalten,für,sich,2,0.14
philosophieren,über,Kunst,2,0.14
haben,in,Gebiet,2,0.14
betrachten,mit,Auge,2,0.14
finden,in,alte,2,0.14
haben,für,der,2,0.14
schweben,in,Mitte,2,0.14
setzen,in,Berührung,2,0.14
sagen,in,Rücksicht,2,0.14
haben,für,sich,2,0.14
machen,aus,der,2,0.14
setzen,in,Bewegung,2,0.14
haben,mit,ihm,2,0.14
erscheinen,in,Gestalt,2,0.14
nehmen,an,sich,2,0.14
gewinnen,über,sich,2,0.14
haben,in,sich,2,0.14
weiß,von,der,2,0.14
finden,in,Schrift,2,0.14
lassen,mit,Hand,2,0.14
wissen,um,sie,1,0.07
sein,an,der,1,0.07
bestehen,in,Arabesk,1,0.07
anrechnen,für,Verdienst,1,0.07
haben,unter,sich,1,0.07
halten,mit,Humorist,1,0.07
sagen,über,sie,1,0.07
deutsche,an,Ende,1,0.07
absprechen,ohne,Ungerechtigkeit,1,0.07
absprechen,um,Dithyrambus,1,0.07
haben,in,Gewalt,1,0.07
vergöttern,in,ihm,1,0.07
ergötzen,an,Porzellanfigur,1,0.07
hassen,als,himmelszeich,1,0.07
weinen,bei,ihm,1,0.07
interessieren,auf,Art,1,0.07
lieben,wegen,Abenteuerlichkeit,1,0.07
bringen,in,welcher,1,0.07
verbinden,in,System,1,0.07
glauben,an,Gott,1,0.07
lächeln,über,Neigung,1,0.07
gelten,durch,sie,1,0.07
Sittlichkeit,bei,der,1,0.07
quillen,zu,sein,1,0.07
quillen,aus,Liebe,1,0.07
fantasieren,über,sich,1,0.07
bilden,aus,Märchen,1,0.07
Religiosität,mit,alle,1,0.07
