adversativ,gegen,610
regiert adversativ,gegen,493
ziel,gegen,178,bei,42
lokal,unter,1171,in,912,bei,423,ueber,414,gegen,105
temporal,in,379,bei,244,gegen,92,ueber,23
regiert adversativ ziel,gegen,67
regiert ziel,gegen,61
austausch,gegen,60,in,4
korrespondenz,gegen,59
adversativ ziel,gegen,53
regiert austausch,gegen,25,in,11
regiert,ueber,147,bei,88,in,56,unter,39,gegen,20,ohne,1
komparativ,gegen,14
regiert lokal,in,13,ueber,6,bei,5,gegen,4
prep_meaning_parent,gegen,1,unter,1,bei,1,wegen,1,ueber,1,ohne,1
regiert korrespondenz,gegen,1
adversativ lokal,gegen,1
adversativ komparativ,gegen,1
zuordnung,unter,1738,bei,291,in,96,ueber,8
ueber-_und_unterschreitung,unter,980,ueber,121
modal,unter,939,ohne,403,ueber,281,bei,164,in,98
machtverhaeltnis,unter,840,ueber,25
konditional regiert,unter,203,in,3
konditional,wegen,2633,bei,375,ohne,244,unter,194,ueber,58,in,19
temporal machtverhaeltnis,unter,97
machtverhaeltnis regiert,unter,53
modal ueber-_und_unterschreitung,unter,37
zustand,in,73,unter,22
machtverhaeltnis konditional,unter,22
regiert zuordnung,unter,18
beteiligung,ohne,48,unter,3
temporal machtverhaeltnis konditional,unter,2
konditional modal,ohne,15,unter,2
temporal konditional,bei,213,unter,2
regiert ueber-_und_unterschreitung,unter,1
lokal zuordnung,unter,1
modal zuordnung,unter,1
modal lokal,ueber,27,in,2,unter,1
bezugspunkt,ueber,456,bei,395,wegen,78,in,46
zuordnung konditional,bei,74
bezugspunkt temporal,bei,34,in,6
grenze,bei,30
modal konditional,bei,29
abhaengigkeit,bei,12
zuordnung temporal,bei,7
indikator,in,7,bei,6
zuordnung ziel regiert,bei,5
bezugspunkt konditional,bei,4
restriktiv zuordnung,bei,4
zuordnung ziel,bei,3
bezugspunkt regiert,bei,2
bezugspunkt temporal konditional,bei,2
regiert temporal,ueber,6,bei,2
temporal lokal,bei,2
zuordnung temporal konditional,bei,1
restriktiv zuordnung ziel,bei,1
ziel regiert,bei,1
zuordnung bezugspunkt,bei,1
modal temporal,in,8,bei,1
bezugspunkt regiert lokal,bei,1
konditional lokal,bei,1
ziel lokal,bei,1
ziel temporal,bei,1
indikator temporal,bei,1
konditional bezugspunkt,wegen,222,ueber,36
thema,ueber,378
regiert bezugspunkt,ueber,210
regiert thema,ueber,121
thema bezugspunkt,ueber,76
regiert konditional bezugspunkt,ueber,60
regiert thema bezugspunkt,ueber,29
regiert machtverhaeltnis,ueber,27
regiert konditional,ueber,18
masangabe,ueber,7
rangfolge,ueber,7
ueber-_und_unterschreitung lokal,ueber,3
bezugspunkt machtverhaeltnis,ueber,3
zuordnung lokal,ueber,2
ueber-_und_unterschreitung masangabe,ueber,1
konditional temporal,ueber,1
bezugspunkt lokal,ueber,1
regiert rangfolge,ueber,1
ueber-_und_unterschreitung modal,ueber,1
thema konditional,ueber,1
vorhandensein,ohne,352
restriktiv,ohne,24
konditional restriktiv,ohne,2
vorgang,ohne,2
stellungnahme,ohne,1
konditional beteiligung,ohne,1
austausch regiert,in,17
realisation,in,16
distributiv,in,6
quelle,in,3
zustand regiert,in,2
prep_meaning_parents,in,1
realisation regiert,in,1
indikator regiert,in,1
